"image","xmin","ymin","xmax","ymax","label"
"5b5a178f-ido_6_jpg.rf.23992ef3fb696a66c98b3b7a9b797f0e.jpg",135.17241379310343,233.73040752351096,227.46081504702192,371.66144200626957,"5"
"5b5a178f-ido_6_jpg.rf.23992ef3fb696a66c98b3b7a9b797f0e.jpg",77.49216300940438,122.88401253918494,147.21003134796237,226.70846394984324,"1"
"5b5a178f-ido_6_jpg.rf.23992ef3fb696a66c98b3b7a9b797f0e.jpg",7.02194357366771,223.69905956112848,93.29153605015674,358.1191222570533,"10"
"5b5a178f-ido_6_jpg.rf.20db971389cb10def391a4e630db9212.jpg",0,232.22570532915358,93.54231974921629,369.6551724137931,"10"
"5b5a178f-ido_6_jpg.rf.20db971389cb10def391a4e630db9212.jpg",135.17241379310343,238.24451410658304,226.9592476489028,384.7021943573667,"5"
"5b5a178f-ido_6_jpg.rf.20db971389cb10def391a4e630db9212.jpg",57.68025078369905,375.17241379310343,125.64263322884008,482.50783699059554,"1"
"5b5a178f-ido_6_jpg.rf.ae28129dea88821344da74965344de5c.jpg",523.8871473354232,173.04075235109715,591.0971786833856,280.8777429467084,"1"
"5b5a178f-ido_6_jpg.rf.ae28129dea88821344da74965344de5c.jpg",414.5454545454545,265.8307210031348,501.31661442006265,404.76489028213166,"5"
"5b5a178f-ido_6_jpg.rf.ae28129dea88821344da74965344de5c.jpg",548.2131661442006,287.39811912225696,631.7241379310344,426.3322884012538,"10"
"5be37b3b-ido_31_jpg.rf.6fa150890f15973a171f9573c64b57ea.jpg",138.43260188087774,304.95297805642633,193.85579937304072,375.67398119122254,"5"
"5be37b3b-ido_31_jpg.rf.6fa150890f15973a171f9573c64b57ea.jpg",180.564263322884,462.94670846394973,236.48902821316608,524.1379310344826,"10"
"5be37b3b-ido_31_jpg.rf.6fa150890f15973a171f9573c64b57ea.jpg",118.6206896551724,509.5924764890282,180.81504702194354,571.2852664576802,"5"
"5be37b3b-ido_31_jpg.rf.6fa150890f15973a171f9573c64b57ea.jpg",587.0846394984326,416.80250783699057,629.2163009404388,466.45768025078365,"1"
"5be37b3b-ido_31_jpg.rf.6fa150890f15973a171f9573c64b57ea.jpg",500.3134796238244,273.8557993730407,543.949843260188,321.0031347962382,"1"
"5be37b3b-ido_31_jpg.rf.6fa150890f15973a171f9573c64b57ea.jpg",465.20376175548586,148.9655172413793,517.8683385579936,209.65517241379308,"5"
"5be37b3b-ido_31_jpg.rf.6b0eb28b9607d7f7e7073404ef1fd954.jpg",134.1692789968652,273.8557993730407,196.36363636363635,343.5736677115987,"5"
"5be37b3b-ido_31_jpg.rf.6b0eb28b9607d7f7e7073404ef1fd954.jpg",91.03448275862068,368.1504702194357,150.2194357366771,433.8557993730407,"5"
"5be37b3b-ido_31_jpg.rf.6b0eb28b9607d7f7e7073404ef1fd954.jpg",224.9529780564263,359.1222570532915,274.1065830721003,414.79623824451403,"1"
"5be37b3b-ido_31_jpg.rf.6b0eb28b9607d7f7e7073404ef1fd954.jpg",83.7617554858934,474.48275862068954,142.69592476489026,534.169278996865,"5"
"5be37b3b-ido_31_jpg.rf.6b0eb28b9607d7f7e7073404ef1fd954.jpg",149.4670846394984,439.8746081504701,204.8902821316614,498.0564263322883,"10"
"5be37b3b-ido_31_jpg.rf.6b0eb28b9607d7f7e7073404ef1fd954.jpg",599.6238244514107,267.33542319749216,640,312.47648902821317,"1"
"5be37b3b-ido_31_jpg.rf.6b0eb28b9607d7f7e7073404ef1fd954.jpg",501.31661442006265,313.9811912225705,543.949843260188,359.1222570532915,"1"
"5be37b3b-ido_31_jpg.rf.6b0eb28b9607d7f7e7073404ef1fd954.jpg",487.27272727272725,185.0783699059561,541.4420062695924,243.7617554858934,"5"
"5be37b3b-ido_31_jpg.rf.6b0eb28b9607d7f7e7073404ef1fd954.jpg",554.9843260188087,470.97178683385573,601.6300940438871,522.6332288401253,"1"
"5f322338-IMG_3005_JPG.rf.bbc92448c60726dc7fc2de0c2260e5c4.jpg",163.7617554858934,284.3887147335423,259.05956112852664,371.15987460815046,"1"
"5f322338-IMG_3005_JPG.rf.bbc92448c60726dc7fc2de0c2260e5c4.jpg",379.9373040752351,239.24764890282128,512.3510971786834,343.0721003134796,"5"
"5f322338-IMG_3005_JPG.rf.ca6f962c9632101489dad40df61dd7c0.jpg",122.13166144200626,250.78369905956112,260.06269592476485,350.09404388714734,"5"
"5f322338-IMG_3005_JPG.rf.ca6f962c9632101489dad40df61dd7c0.jpg",370.9090909090909,276.3636363636363,481.7554858934169,362.13166144200625,"1"
"5f322338-IMG_3005_JPG.rf.15f35020707bd7732d38059246449e23.jpg",161.2539184952978,259.31034482758616,266.5830721003135,334.04388714733534,"1"
"5f322338-IMG_3005_JPG.rf.15f35020707bd7732d38059246449e23.jpg",371.41065830721,311.4733542319749,511.84952978056424,413.2915360501567,"5"
"5be37b3b-ido_31_jpg.rf.89275d68ed2bbe239e8a2722ae9d07fd.jpg",136.17554858934167,298.4326018808777,192.85266457680248,359.6238244514106,"5"
"5be37b3b-ido_31_jpg.rf.89275d68ed2bbe239e8a2722ae9d07fd.jpg",239.49843260188086,365.14106583072095,278.6206896551724,418.808777429467,"1"
"5be37b3b-ido_31_jpg.rf.89275d68ed2bbe239e8a2722ae9d07fd.jpg",168.77742946708463,456.4263322884012,222.94670846394985,514.6081504702194,"10"
"5be37b3b-ido_31_jpg.rf.89275d68ed2bbe239e8a2722ae9d07fd.jpg",103.07210031347961,392.2257053291536,159.74921630094042,455.9247648902821,"5"
"5be37b3b-ido_31_jpg.rf.89275d68ed2bbe239e8a2722ae9d07fd.jpg",106.58307210031347,497.0532915360501,166.269592476489,557.2413793103448,"5"
"5be37b3b-ido_31_jpg.rf.89275d68ed2bbe239e8a2722ae9d07fd.jpg",471.7241379310344,158.99686520376173,525.8934169278996,220.18808777429464,"5"
"5be37b3b-ido_31_jpg.rf.89275d68ed2bbe239e8a2722ae9d07fd.jpg",495.2978056426332,285.39184952978053,546.4576802507837,337.55485893416926,"1"
"5be37b3b-ido_31_jpg.rf.89275d68ed2bbe239e8a2722ae9d07fd.jpg",578.0564263322883,436.3636363636363,620.6896551724137,483.0094043887147,"1"
"5be37b3b-ido_31_jpg.rf.89275d68ed2bbe239e8a2722ae9d07fd.jpg",592.6018808777429,231.22257053291534,632.7272727272727,276.8652037617555,"1"
"65a0af2e-PXL_20240714_101706537_jpg.rf.41a7b20896b3f922fab022b868fe017f.jpg",80.50156739811912,455.42319749216296,163.7617554858934,568.2758620689655,"2"
"65a0af2e-PXL_20240714_101706537_jpg.rf.41a7b20896b3f922fab022b868fe017f.jpg",285.89341692789964,267.83699059561127,371.9122257053291,382.1943573667711,"5"
"65a0af2e-PXL_20240714_101706537_jpg.rf.41a7b20896b3f922fab022b868fe017f.jpg",370.9090909090909,94.7962382445141,435.6112852664576,171.5360501567398,"1"
"65a0af2e-PXL_20240714_101706537_jpg.rf.41a7b20896b3f922fab022b868fe017f.jpg",423.5736677115987,246.77115987460812,487.27272727272725,332.0376175548589,"1"
"673dccd3-IMG_6479_jpg.rf.1a7c8a49f0d930095e839d5f01f22d53.jpg",197.3667711598746,73.22884012539184,277.6175548589341,172.53918495297802,"10"
"673dccd3-IMG_6479_jpg.rf.1a7c8a49f0d930095e839d5f01f22d53.jpg",495.2978056426332,230.7210031347962,556.9905956112852,310.4702194357366,"1"
"673dccd3-IMG_6479_jpg.rf.1a7c8a49f0d930095e839d5f01f22d53.jpg",148.2131661442006,325.5172413793103,232.97805642633227,433.85579937304067,"5"
"673dccd3-IMG_6479_jpg.rf.1a7c8a49f0d930095e839d5f01f22d53.jpg",349.34169278996865,400.75235109717863,427.0846394984326,502.06896551724134,"2"
"65a0af2e-PXL_20240714_101706537_jpg.rf.63b94ade333343a78a35044562457772.jpg",252.0376175548589,79.74921630094043,315.73667711598745,160.5015673981191,"1"
"65a0af2e-PXL_20240714_101706537_jpg.rf.63b94ade333343a78a35044562457772.jpg",163.26018808777428,215.17241379310343,230.47021943573665,299.9373040752351,"1"
"65a0af2e-PXL_20240714_101706537_jpg.rf.63b94ade333343a78a35044562457772.jpg",266.0815047021943,266.3322884012539,354.85893416927894,378.18181818181813,"5"
"65a0af2e-PXL_20240714_101706537_jpg.rf.63b94ade333343a78a35044562457772.jpg",422.57053291536045,501.56739811912223,508.8401253918495,611.41065830721,"2"
"65a0af2e-PXL_20240714_101706537_jpg.rf.d99396e25b798f16185aa1c29a34e1d6.jpg",342.3197492163009,84.76489028213166,410.0313479623824,164.51410658307208,"1"
"65a0af2e-PXL_20240714_101706537_jpg.rf.d99396e25b798f16185aa1c29a34e1d6.jpg",416.551724137931,230.7210031347962,482.7586206896551,313.9811912225705,"1"
"65a0af2e-PXL_20240714_101706537_jpg.rf.d99396e25b798f16185aa1c29a34e1d6.jpg",283.6363636363636,264.8275862068965,375.423197492163,380.1880877742946,"5"
"65a0af2e-PXL_20240714_101706537_jpg.rf.d99396e25b798f16185aa1c29a34e1d6.jpg",107.58620689655172,484.5141065830721,192.35109717868337,594.858934169279,"2"
"673dccd3-IMG_6479_jpg.rf.9f865f999fcbf8c7c1781ec32083bd77.jpg",251.03448275862067,56.17554858934169,328.27586206896547,157.49216300940438,"10"
"673dccd3-IMG_6479_jpg.rf.9f865f999fcbf8c7c1781ec32083bd77.jpg",133.66771159874608,289.4043887147335,219.43573667711598,396.23824451410655,"5"
"673dccd3-IMG_6479_jpg.rf.9f865f999fcbf8c7c1781ec32083bd77.jpg",311.2225705329153,412.28840125391844,388.46394984326014,517.6175548589341,"2"
"673dccd3-IMG_6479_jpg.rf.9f865f999fcbf8c7c1781ec32083bd77.jpg",498.3072100313479,283.88714733542315,561.5047021943573,364.63949843260184,"1"
